 *** ZZT:Watch ***
File: D:\ZZT\Watch_ZAKUCA1A-ZAKUCA1A_089.log
Computer: INEM1332-NB; User: anto.maric
Connection: Telnet 192.168.0.11:23
Target: D105OSCZ; Application: ZAKUCA1A-ZAKUCA1A
Start time: 21.2.2025. 15:03:14

Signals: 16
 1.    VGACT int16
 2.     PACT int16
 3.     QACT int16
 4.    VGREF int16
 5.    PACTH int16
 6.    QACTH int16
 7.    QHREF int16
 8.    VHACT int16
 9.    VHREF int16
10.  COSPHIH int16
11.  COSHREF int16
12.    IFACT int16
13.    UFACT int16
14.  COSHINC log16
15.  COSHDEC log16
16. COHREFCC int16

Data:
   7.559 -21526  11514  -7022  21978  11753  -8043      0 -22570  24179   5732      0   3434   3447 0 0   1000 
   7.660 -21526  11507  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3435   3469 0 0   1000 
   7.733 -21526  11505  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3434   3457 0 0   1000 
   7.832 -21527  11505  -7029  21978  11739  -8040      0 -22570  24179   5732      0   3431   3451 0 1   1000 
   7.916 -21528  11507  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3434   3457 0 0   1000 
   8.016 -21527  11505  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3434   3437 0 0   1000 
   8.089 -21527  11516  -7029  21978  11739  -8040      0 -22570  24179   5732      0   3434   3458 0 0   1000 
   8.186 -21526  11523  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3436   3462 0 0   1000 
   8.286 -21527  11518  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3436   3457 0 0   1000 
   8.395 -21526  11516  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3436   3465 0 1   1000 
   8.484 -21527  11507  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3432   3470 0 0   1000 
   8.583 -21527  11507  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3432   3449 0 0   1000 
   8.683 -21527  11516  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3436   3459 0 0   1000 
   8.765 -21526  11514  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3435   3440 0 0   1000 
   8.908 -21527  11507  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3433   3458 0 0   1000 
   9.007 -21527  11514  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3436   3449 0 1   1000 
   9.095 -21527  11509  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3434   3452 0 0   1000 
   9.177 -21526  11525  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3436   3455 0 0   1000 
   9.276 -21524  11527  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3435   3463 0 0   1000 
   9.375 -21526  11516  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3435   3452 0 0   1000 
   9.458 -21527  11507  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3433   3473 0 0   1000 
   9.557 -21526  11500  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3434   3442 0 0   1000 
   9.641 -21528  11489  -7029  21978  11739  -8040      0 -22570  24179   5732      0   3431   3462 0 1   1000 
   9.730 -21526  11505  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3433   3439 0 0   1000 
   9.829 -21526  11507  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3434   3457 0 0   1000 
   9.913 -21526  11507  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3434   3448 0 0   1000 
